lr-AdamW,step,train_loss,train_acc,epoch,val_loss,val_acc
,14049,0.9645243483196493,0.7265625,2,,
,14099,1.0870901868992087,0.65625,2,,
,14149,1.0901422843393893,0.65625,2,,
,14199,0.847806540677727,0.71875,2,,
,14249,0.9896646160679985,0.671875,2,,
,14299,1.1346688793999766,0.6484375,2,,
,14349,1.1023406920075074,0.6875,2,,
,14399,1.0991507339103221,0.6484375,2,,
,14449,1.0014163477383529,0.6875,2,,
,14499,0.9956993616699402,0.703125,2,,
,14549,0.8989842115821083,0.7265625,2,,
,14599,0.8206151228840897,0.7421875,2,,
,14649,0.9145446895148729,0.734375,2,,
,14699,0.9586430807696147,0.671875,2,,
,14749,0.8425617179991342,0.7421875,2,,
,14799,0.9995467747545419,0.6796875,2,,
,14849,0.9312744139138641,0.6953125,2,,
,14899,0.9971356640046046,0.6953125,2,,
,14949,1.2067735778866995,0.6328125,2,,
,14999,0.9094090467360296,0.6796875,2,,
,15049,1.0723476441069233,0.609375,2,,
,15099,0.889514435115809,0.7109375,2,,
,15149,1.1082205183989913,0.703125,2,,
,15199,0.8895395121358173,0.734375,2,,
,15249,1.0869005032456005,0.6796875,2,,
,15299,0.9634977255012147,0.6796875,2,,
,15349,0.8611621018526896,0.6875,2,,
,15399,1.0127396159591677,0.6796875,2,,
,15449,0.9681094069564837,0.6640625,2,,
,15499,1.1026144486719995,0.6484375,2,,
,15549,0.9591014102444039,0.71875,2,,
,15599,0.7556422818761132,0.7890625,2,,
,15649,0.8651349833886334,0.671875,2,,
,15699,0.7919088380460387,0.7265625,2,,
,15749,0.9540590142487881,0.71875,2,,
,15799,1.3718673606861298,0.515625,2,,
,15849,1.0968998466095161,0.6328125,2,,
,15899,0.9495334253298376,0.703125,2,,
,15949,1.0371688567871737,0.5859375,2,,
,15999,1.0784388151294717,0.640625,2,,
,16049,0.9137716689482299,0.6796875,2,,
,16099,0.9563361207848402,0.71875,2,,
,16149,0.9453822436119846,0.6640625,2,,
,16199,1.1712266503985262,0.640625,2,,
,16249,0.9950849178696656,0.6484375,2,,
,16299,0.8616274025125943,0.75,2,,
,16349,0.9849767692113841,0.671875,2,,
,16399,0.797343782482433,0.734375,2,,
,16449,0.9788024442445223,0.6484375,2,,
,16499,0.7017648850614018,0.7890625,2,,
,16549,0.8554069778271934,0.734375,2,,
,16595,,,2,0.8515496538212615,0.7180444066778773
0.0001,16596,,,,,
,16599,0.9363024106244526,0.6875,3,,
,16649,0.831935231473113,0.6796875,3,,
,16699,1.142028504838346,0.6171875,3,,
,16749,0.8205997555758197,0.6953125,3,,
,16799,0.7943188922209394,0.7421875,3,,
,16849,0.841880353709415,0.7109375,3,,
,16899,0.9248186991876957,0.6796875,3,,
,16949,0.8382335263011698,0.6875,3,,
,16999,1.0404304699542757,0.6875,3,,
